batter,batter_id,pa,xwoba,xba,xslg,avg_ev,hardhit_rate,batter_score
Corbin Carroll,682998,81,0.31982282352941177,0.328125,0.36675,78.5142857142857,0.024691358024691357,-0.27671424403648215
Corey Julks,667452,16,0.15945,0.1284583333333333,0.3503958333333334,81.92,0.0625,-0.7964125615963111
Curtis Mead,678554,41,0.1727777777777778,0.2615,0.327,75.13571428571429,0.0,-1.0494088947322753
DaShawn Keirsey Jr.,680577,4,0.0,0.225,0.239,48.15,0.0,-2.5343689749811236
Dalton Rushing,687221,55,0.3885861607142857,0.3804539772727273,0.8042710227272726,87.56666666666666,0.12727272727272726,0.9072903008191759
Daniel Schneemann,682177,61,0.13824978571428573,0.1725714285714286,0.22485714285714284,82.7,0.06557377049180328,-0.8883452900896079
Danny Jansen,643376,62,0.5909645557929725,0.5683218557098765,1.074878375771605,83.7764705882353,0.06451612903225806,1.6524237737116354
Dansby Swanson,621020,104,0.3615581257253385,0.2874607380319149,0.5726961103723405,86.88181818181818,0.08653846153846154,0.4204231269038673
Darell Hernaiz,687231,55,0.2657894736842105,0.32,0.3778235294117647,77.71923076923078,0.07272727272727272,-0.3344680860989832
Daulton Varsho,662139,70,0.26117999391912433,0.303696750308515,0.5270603455368161,85.78214285714286,0.11428571428571428,0.10953867132216663
David Fry,681807,14,0.02766666666666667,0.096,0.098,83.2,0.07142857142857142,-1.394332455335287
David Hamilton,666152,39,0.2382367940379404,0.3380081300813009,0.8278699186991871,78.61,0.05128205128205128,-0.13732599031858597
Davis Schneider,676914,52,0.29259009090909094,0.23579999999999995,0.2908,84.84166666666667,0.019230769230769232,-0.3359196957909685
Daylen Lile,695734,63,0.38767683572567785,0.3967676262626263,0.6359617676767677,82.93333333333332,0.09523809523809523,0.5614566355419464
Denzer Guzman,694203,59,0.1859375,0.399875,0.442375,80.59285714285714,0.05084745762711865,-0.48187167809894016
Derek Hill,656537,22,0.309161125,0.3504,0.4102,83.96363636363637,0.045454545454545456,-0.03805259756656579
Dillon Dingler,693307,79,0.3565882714285714,0.45362142857142856,0.66145,83.66521739130435,0.08860759493670886,0.5210864309222153
Dominic Canzone,686527,71,0.388346836337419,0.3752324826049141,0.8304997214068276,81.492,0.08450704225352113,0.6068551475948767
Dominic Fletcher,666150,50,0.388982504608295,0.3364255583126551,0.5320483870967742,85.30909090909091,0.14,0.6519146879746185
Donovan Solano,456781,9,0.14233333333333334,0.403,0.613,97.2,0.1111111111111111,0.16879003941686238
