pitcher,pitcher_id,bf,xwoba_allowed,woba_allowed,xslg_allowed,avg_ev_allowed,hardhit_allowed_rate,k_rate,bb_rate,pitcher_score
Kyle Hart,606996,24,0.3098323333333333,0.2333333333333333,0.212,85.78,0.041666666666666664,0.041666666666666664,0.08333333333333333,-0.11452215950874955
Kyle Hendricks,543294,108,0.279709595959596,0.38409090909090904,0.7170457766439908,77.99411764705883,0.08333333333333333,0.07407407407407407,0.0,0.15782765027232226
Kyle Leahy,681517,52,0.24153061224489794,0.19285714285714287,0.43246753246753245,82.00384615384615,0.11538461538461539,0.057692307692307696,0.0,0.19142346042225677
Kyle Nicolas,693312,39,0.15379354838709675,0.215,0.5358301075268816,85.62727272727273,0.07692307692307693,0.1282051282051282,0.0,0.8322291349409371
Lake Bachar,669199,19,0.34565151515151515,0.40625,0.6837575757575758,87.3375,0.15789473684210525,0.10526315789473684,0.0,-0.2644800991735959
Lance McCullers Jr.,621121,54,0.39326900000000004,0.34615384615384615,0.8575333333333334,81.35625,0.05555555555555555,0.07407407407407407,0.018518518518518517,-0.3612757497469046
Landon Knack,689017,55,0.13580746153846154,0.12307692307692308,0.269,81.86315789473684,0.03636363636363636,0.12727272727272726,0.01818181818181818,1.1719825986186556
Logan Allen,671106,88,0.35367696825396827,0.3886363636363636,0.5858037414965988,79.41724137931034,0.056818181818181816,0.045454545454545456,0.03409090909090909,-0.22910724002340785
Logan Evans,688138,49,0.21954141666666668,0.20833333333333334,0.2503,78.8578947368421,0.061224489795918366,0.02040816326530612,0.02040816326530612,0.3142265276871977
Logan Gilbert,669302,75,0.34998273684210524,0.32105263157894737,0.6833519230769229,85.20434782608696,0.05333333333333334,0.06666666666666667,0.013333333333333334,-0.2241262776671653
Logan Webb,657277,174,0.24067328100775193,0.29000000000000004,0.45003629464285716,84.91224489795918,0.06896551724137931,0.07471264367816093,0.011494252873563218,0.2969851166255499
Lou Trivino,642152,41,0.26774485454545455,0.265,0.53275,83.01818181818182,0.04878048780487805,0.0975609756097561,0.04878048780487805,0.28408940797966975
Louis Varland,686973,52,0.21096646666666666,0.10666666666666667,0.3692777777777778,80.61999999999999,0.057692307692307696,0.09615384615384616,0.019230769230769232,0.6630765601010052
Lucas Giolito,608337,97,0.35031436627140977,0.33260869565217394,0.44517613636363634,84.18787878787879,0.08247422680412371,0.030927835051546393,0.041237113402061855,-0.4025899624695406
Luinder Avila,679883,42,0.20604518181818185,0.3727272727272727,0.3233333333333333,90.78,0.09523809523809523,0.09523809523809523,0.023809523809523808,0.37620321049258576
Luis Castillo,622491,93,0.19365378057577548,0.08695652173913043,0.5773387283907645,86.2,0.0967741935483871,0.10752688172043011,0.0,0.49984776617816684
Luis Curvelo,681168,30,0.3811131578947369,0.5,0.8535269736842105,79.34545454545454,0.1,0.03333333333333333,0.0,-0.5569631703452756
Luis García,472610,18,0.44649900000000003,0.2333333333333333,0.34,70.77000000000001,0.0,0.0,0.05555555555555555,-0.38567378839704697
Luis Gil,661563,166,0.29479356782945737,0.28837209302325584,0.4760962009803921,83.2909090909091,0.10843373493975904,0.030120481927710843,0.024096385542168676,-0.23466219240122885
Luis Morales,806960,101,0.23693095,0.3142857142857143,0.37586298076923075,83.00645161290322,0.0594059405940594,0.04950495049504951,0.019801980198019802,0.258400347382422
Luis Peralta,678821,42,0.2448994,0.32,0.24350000000000002,85.22142857142856,0.07142857142857142,0.047619047619047616,0.047619047619047616,0.14985867266847133
Luis Severino,622663,85,0.2894535,0.17045454545454544,0.473035,80.968,0.058823529411764705,0.058823529411764705,0.011764705882352941,0.14053073338958694
Luke Jackson,592426,62,0.226269,0.15,0.39271428571428574,74.20434782608696,0.04838709677419355,0.08064516129032258,0.016129032258064516,0.6839014078482416
Luke Weaver,596133,45,0.16082727272727274,0.11363636363636363,0.34152916666666666,80.67777777777778,0.06666666666666667,0.06666666666666667,0.0,0.7132014401793149
Mark Leiter Jr.,643410,24,0.2951988,0.45999999999999996,0.041999999999999996,78.26,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.19451138299255175
Mason Barnett,686930,97,0.29576238961038964,0.23636363636363636,0.4738406015037594,83.12820512820512,0.09278350515463918,0.030927835051546393,0.020618556701030927,-0.18311665271943167
Mason Fluharty,689254,63,0.09415384615384616,0.0,0.228,77.83999999999999,0.015873015873015872,0.1111111111111111,0.0,1.4303948692123876
Mason Miller,695243,42,0.087812125,0.0875,0.013,83.05,0.023809523809523808,0.14285714285714285,0.023809523809523808,1.5528819115344485
Matt Brash,666374,16,0.18669940000000002,0.39,0.1275,78.9,0.0,0.125,0.0625,1.1090676422298724
Matt Festa,670036,60,0.255174125,0.3470588235294118,0.32463636363636367,78.2,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.4530490822610909
Matt Gage,657424,12,0.296,0.7166666666666667,0.6735,81.78,0.16666666666666666,0.08333333333333333,0.0,-0.10625591382534647
Matt Strahm,621381,12,0.067,0.0,0.111,79.42,0.08333333333333333,0.08333333333333333,0.0,1.2408691886444643
Matt Svanson,694335,42,0.17670000000000002,0.14545454545454548,0.461,83.6,0.11904761904761904,0.11904761904761904,0.0,0.6886656938534369
Matthew Boyd,571510,86,0.3246562047619047,0.215,0.5500130158730159,84.63793103448276,0.08139534883720931,0.03488372093023256,0.023255813953488372,-0.3150001657039815
Max Fried,608331,107,0.18560559788359787,0.23148148148148148,0.2802380952380952,80.4125,0.056074766355140186,0.06542056074766354,0.018691588785046728,0.6416063710305908
Max Lazar,676661,55,0.29975851048951047,0.37307692307692314,0.5678686868686869,85.88888888888889,0.12727272727272726,0.05454545454545454,0.01818181818181818,-0.25728982480339985
Max Scherzer,453286,86,0.3899744335664336,0.43200000000000005,0.6586527272727273,81.96857142857144,0.13953488372093023,0.05813953488372093,0.0,-0.49756890230772016
McCade Brown,685326,141,0.3560799704031844,0.3803030303030303,0.863665547442494,85.66315789473684,0.09219858156028368,0.0851063829787234,0.03546099290780142,-0.399319015908409
Michael Kelly,547184,43,0.5753100773584906,0.509090909090909,1.2738819407008088,90.13076923076923,0.09302325581395349,0.046511627906976744,0.023255813953488372,-1.6594463332460276
Michael King,650633,49,0.34734025,0.25,0.4601555555555556,79.30909090909091,0.02040816326530612,0.061224489795918366,0.061224489795918366,-0.02762851446418818
Michael Lorenzen,547179,84,0.27537434691745033,0.30454545454545456,0.7470592396109637,83.23076923076923,0.05952380952380952,0.10714285714285714,0.0,0.27794716376872514
Michael McGreevy,700241,88,0.3198523587173061,0.4452380952380952,0.5065050607287449,84.78,0.06818181818181818,0.03409090909090909,0.022727272727272728,-0.24920241494650047
Michael Petersen,656848,25,0.5020558510638298,0.2222222222222222,0.787,82.89166666666667,0.16,0.04,0.0,-1.1212584445978515
Michael Soroka,647336,47,0.3148064666666667,0.2866666666666667,0.5208833333333334,85.51333333333334,0.10638297872340426,0.0425531914893617,0.02127659574468085,-0.29766167456193665
Michael Tonkin,543859,11,0.32875,0.225,0.5466666666666666,85.1,0.18181818181818182,0.09090909090909091,0.0,-0.21717560369783645
Michael Wacha,608379,83,0.19524959090909091,0.17727272727272728,0.1902857142857143,80.6,0.07228915662650602,0.060240963855421686,0.03614457831325301,0.5453011108528232
Mick Abel,690953,73,0.1586427142857143,0.1619047619047619,0.2982727272727273,82.788,0.0684931506849315,0.1232876712328767,0.0136986301369863,0.9692669337791034
Mike Burrows,681347,26,0.35970516717325235,0.41428571428571426,0.5923100303951367,84.05384615384615,0.15384615384615385,0.0,0.0,-0.7535454813319106
Mike Vasil,678024,55,0.3965440819672131,0.33749999999999997,0.5295765027322406,80.46923076923076,0.03636363636363636,0.03636363636363636,0.07272727272727272,-0.4611754306466806
Miles Mikolas,571945,79,0.4366589157172272,0.38,0.9387392919240448,83.14999999999999,0.0759493670886076,0.05063291139240506,0.012658227848101266,-0.7568428660849057
Mitch Farris,815083,84,0.4087860588127209,0.35,0.8034458745838203,79.16923076923078,0.07142857142857142,0.05952380952380952,0.023809523809523808,-0.46651270937752515
Mitch Keller,656605,89,0.39537872750056957,0.38421052631578945,0.8763007575757574,82.2,0.056179775280898875,0.06741573033707865,0.056179775280898875,-0.5246531297345196
Mitch Spence,687765,47,0.35991346153846154,0.415625,0.49946153846153846,86.96111111111111,0.19148936170212766,0.02127659574468085,0.0,-0.7413697392857631
Mitchell Parker,680730,27,0.31801845,0.195,0.3918125,88.44615384615385,0.18518518518518517,0.0,0.037037037037037035,-0.7596753654408022
Nabil Crismatt,622503,72,0.4992961286096399,0.6575,0.8658991149284302,86.55185185185185,0.1388888888888889,0.027777777777777776,0.027777777777777776,-1.3176995367594246
Nick Hernandez,663321,26,0.5339078341658342,0.5571428571428572,1.0636867132867136,94.125,0.07692307692307693,0.038461538461538464,0.07692307692307693,-1.6224622744733073
Nick Lodolo,666157,107,0.2060889642857143,0.20862068965517241,0.36916083916083914,80.55714285714286,0.037383177570093455,0.11214953271028037,0.028037383177570093,0.7959339591564327
Nick Martinez,607259,43,0.3600828333333333,0.29583333333333334,0.46175,86.3125,0.09302325581395349,0.046511627906976744,0.046511627906976744,-0.44493239172375953
Nick Mears,683232,31,0.19949206349206347,0.26666666666666666,0.41624074074074074,80.94166666666666,0.0967741935483871,0.06451612903225806,0.03225806451612903,0.3731199121521653
Noah Cameron,702070,96,0.452535380715527,0.3068181818181818,0.9074988464073831,86.76818181818182,0.08333333333333333,0.0625,0.041666666666666664,-0.8958599099923368
Nolan McLean,690997,94,0.3649490028050491,0.43043478260869567,1.20892781701891,82.16153846153846,0.06382978723404255,0.11702127659574468,0.02127659574468085,-0.2672015260290997
Orion Kerkering,689147,42,0.2081046049382716,0.17777777777777778,0.4483611111111111,78.70714285714287,0.07142857142857142,0.09523809523809523,0.023809523809523808,0.6228601346606039
Orlando Ribalta,687377,34,0.343999,0.5916666666666667,0.26266666666666666,81.33,0.058823529411764705,0.029411764705882353,0.058823529411764705,-0.21135417737349388
Osvaldo Bido,674370,66,0.26726330303030305,0.37777777777777777,0.5093685950413224,83.15652173913043,0.09090909090909091,0.07575757575757576,0.030303030303030304,0.12014412113117813
PJ Poulin,676571,15,0.19432225,0.175,0.072,82.26666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.9154442294328846
Parker Messick,800048,89,0.37920133900234826,0.46304347826086956,0.9336255523731587,83.03529411764706,0.06741573033707865,0.07865168539325842,0.011235955056179775,-0.377742035426709
Patrick Corbin,571578,153,0.3459243309625415,0.32297297297297295,0.5155846564327485,80.13863636363637,0.0784313725490196,0.0457516339869281,0.032679738562091505,-0.22643571957454275
Paul Blackburn,621112,36,0.18965034965034963,0.2636363636363636,0.4526593406593407,79.79166666666667,0.027777777777777776,0.1111111111111111,0.0,0.9073822466041597
Paul Sewald,623149,30,0.1897497,0.16,0.21337499999999998,79.83076923076922,0.1,0.03333333333333333,0.03333333333333333,0.362475591233082
Paul Skenes,694973,85,0.22155746140651802,0.17954545454545456,0.4568817610062893,83.85,0.09411764705882353,0.08235294117647059,0.0,0.3911020106494362
Payton Tolle,801139,38,0.31277462500000003,0.45,0.5274000000000001,79.42666666666668,0.07894736842105263,0.05263157894736842,0.02631578947368421,-0.05197382734526235
Pete Fairbanks,664126,24,0.15321483333333333,0.11666666666666665,0.06325,75.87692307692308,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.8223880939118553
Phil Maton,664208,41,0.190562125,0.2,0.2472,80.82857142857142,0.07317073170731707,0.04878048780487805,0.024390243902439025,0.4886025792037308
Philip Abner,691769,49,0.3921270681341719,0.47500000000000003,0.7702799640610962,81.47222222222223,0.08163265306122448,0.061224489795918366,0.04081632653061224,-0.4972398013848319
Pierce Johnson,572955,37,0.41137662337662334,0.6227272727272727,0.6890595238095238,83.66666666666667,0.10810810810810811,0.05405405405405406,0.0,-0.5723192252719431
